Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
Russian Federation,Praskoveya,0.09986282151898904,1,0.0,0,0.3622909801188448,0,-0.9071450750155413,0,0.25708846038281585,1
Brazil,Presidente Dutra,-0.5494136718961351,0,0.0,0,-2.308886488968846,0,-0.33520828402850383,0,-0.2765371931973362,0
Italy,Priolo Gargallo,1.0737775616416754,1,0.0,0,0.6207920255144278,0,0.23672850695853362,0,1.0575269407530439,1
Poland,Przasnysz,-1.003907217286722,0,0.0,0,0.1899569498551228,0,-0.9071450750155413,0,-1.3971510657156556,0
Germany,Puttlingen,0.8140669642756256,1,0.0,0,0.2761239649869838,0,0.8086652979455711,0,0.8440766793209832,1
Belgium,Puurs,0.9439222629586504,1,0.0,0,-0.24087812580418222,0,3.096412461893721,0,0.9508018100370136,1
Russian Federation,Pyatigorsk,0.2946457695435263,1,0.0,0,0.7931260557781498,0,-0.33520828402850383,0,0.41717615645686146,1
Netherlands,Raalte,-0.5494136718961351,0,0.0,0,-0.6717132014634872,0,2.524475670906684,0,-0.2765371931973362,0
Republic of North Macedonia,Radovis,2.1775476004473866,1,0.0,0,1.2239611314374548,0,-0.9071450750155413,0,1.9646905518393025,1
France,Raismes,0.6192840162510884,1,0.0,0,-0.1547111106723212,0,1.3806020889326085,0,0.6839889832469375,1
Italy,Ramacca,0.3595734188850387,1,0.0,0,1.3101281465693158,0,-0.9071450750155413,0,0.47053872181487666,1
Poland,Piaseczno,-1.3934731133357967,0,0.0,0,-0.3270451409360432,0,0.23672850695853362,0,-0.9702505428515339,0
India,Piravam,2.0476923017643616,1,0.0,0,-0.6717132014634872,0,-0.33520828402850383,0,1.8579654211232721,1
Colombia,Plato,1.1387052109831877,1,0.0,0,-1.3610493225183753,0,0.23672850695853362,0,1.110889506111059,1
Romania,Poiana Mare,0.8140669642756256,1,0.0,0,0.4484579952507058,0,-0.33520828402850383,0,0.8440766793209832,1
Russian Federation,Polevskoy,-1.1986901653112594,0,0.0,0,-0.06854409554046022,0,-0.9071450750155413,0,-1.5572387617897012,0
France,Pontarlier,0.42450106822655115,1,0.0,0,0.2761239649869838,0,-0.9071450750155413,0,0.5239012871728919,1
Indonesia,Pontianak,-0.3546307238715979,0,0.0,0,-1.4472163376502363,0,-0.9071450750155413,0,-0.1164494971232906,0
Brazil,Porecatu,-1.2636178146527717,0,0.0,0,-1.9642184284414024,0,0.23672850695853362,0,-0.8635254121355035,0
Finland,Pori,-1.2636178146527717,0,0.0,0,-0.1547111106723212,0,-0.33520828402850383,0,-1.6639638925057316,0
United States of America,Port Neches,-1.003907217286722,0,0.0,0,-1.1025482771227924,0,3.096412461893721,0,-0.6500751507034427,0
United Kingdom of Great Britain and Northern Ireland,Port Talbot,0.09986282151898904,1,0.0,0,-1.0163812619909312,0,1.952538879919646,0,0.25708846038281585,1
United States of America,Portales,1.787981704398312,1,0.0,0,0.1899569498551228,0,-0.9071450750155413,0,1.6445151596912113,1
United States of America,Post Falls,0.7491393149341132,1,0.0,0,0.017622919591400794,0,0.8086652979455711,0,0.790714113962968,1
Brazil,Pouso Alegre,-1.1337625159697469,0,0.0,0,-2.136552458705124,0,0.23672850695853362,0,-0.7568002814194731,0
United Republic of Tanzania,Dar Es Salaam,0.09986282151898904,1,0.0,0,-0.7578802165953482,0,-0.9071450750155413,0,0.25708846038281585,1
United States of America,Dayton,-0.2897030745300855,0,0.0,0,0.017622919591400794,0,3.096412461893721,0,-0.0630869317652754,0
Belgium,Deinze,-0.8740519186036972,0,0.0,0,-0.5855461863316263,0,0.8086652979455711,0,-0.5433500199874123,0
United States of America,Deming,1.4633434576907498,1,0.0,0,-0.4993791711997652,0,0.23672850695853362,0,1.3777023329011353,1
India,Dharmapuri,0.6842116655926008,1,0.0,0,-0.06854409554046022,0,-0.33520828402850383,0,0.7373515486049528,1
Philippines,Dipolog,-1.2636178146527717,0,0.0,0,-1.2748823073865143,0,-0.9071450750155413,0,-0.8635254121355035,0
Latvia,Dobele,-0.3546307238715979,0,0.0,0,0.1899569498551228,0,-0.9071450750155413,0,-0.1164494971232906,0
United States of America,Grandville,-0.15984777584706064,0,0.0,0,0.4484579952507058,0,1.3806020889326085,0,0.04363819895075502,0
United Kingdom of Great Britain and Northern Ireland,Guildford,0.09986282151898904,1,0.0,0,-0.5855461863316263,0,2.524475670906684,0,0.25708846038281585,1
Philippines,Guiset,1.0737775616416754,1,0.0,0,-0.4993791711997652,0,-0.33520828402850383,0,1.0575269407530439,1
Russian Federation,Gukovo,-0.7441966199206724,0,0.0,0,0.5346250103825668,0,-0.9071450750155413,0,-1.770689023221762,0
United States of America,Havre De Grace,-1.003907217286722,0,0.0,0,-0.1547111106723212,0,3.096412461893721,0,-0.6500751507034427,0
Germany,Heddesheim,0.2946457695435263,1,0.0,0,-0.06854409554046022,0,0.8086652979455711,0,0.41717615645686146,1
Germany,Heiligenhaus,-0.3546307238715979,0,0.0,0,-0.3270451409360432,0,0.8086652979455711,0,-0.1164494971232906,0
United Kingdom of Great Britain and Northern Ireland,Hemel Hempstead,0.09986282151898904,1,0.0,0,-0.4993791711997652,0,2.524475670906684,0,0.25708846038281585,1
Brazil,Hidrolandia,-0.48448602255462275,0,0.0,0,-2.308886488968846,0,0.23672850695853362,0,-0.22317462783932102,0
Germany,Haiger,-0.029992477164035802,0,0.0,0,-0.5855461863316263,0,0.8086652979455711,0,0.15036332966678545,0
United States of America,Harrison,2.6320411458379733,1,0.0,0,-0.5855461863316263,0,0.23672850695853362,0,2.338228509345409,1
India,Harur,1.1387052109831877,1,0.0,0,-0.4993791711997652,0,-0.33520828402850383,0,1.110889506111059,1
France,Haubourdin,-0.09492012650554822,0,0.0,0,-0.3270451409360432,0,1.3806020889326085,0,0.09700076430877023,0
Tunisia,Tawzar,1.5282711070322623,1,0.0,0,0.9654600860418718,0,-0.9071450750155413,0,1.4310648982591505,1
Italy,Teano,-0.15984777584706064,0,0.0,0,1.3101281465693158,0,-0.33520828402850383,0,-0.5433500199874123,0
Brazil,Teodoro Sampaio,-0.22477542518857307,0,0.0,0,-1.9642184284414024,0,-0.33520828402850383,0,-0.009724366407260186,0
Mexico,Tequila,0.9439222629586504,1,0.0,0,-1.4472163376502363,0,0.23672850695853362,0,0.9508018100370136,1
Italy,Teramo,-0.3546307238715979,0,0.0,0,1.0516271011737328,0,-0.33520828402850383,0,-0.4366248892713818,0
Romania,Timisoara,-0.15984777584706064,0,0.0,0,0.8792930709100109,0,-0.9071450750155413,0,0.04363819895075502,0
Tunisia,Tinjah,-0.09492012650554822,0,0.0,0,1.3962951617011767,0,-0.33520828402850383,0,-0.9168879774935187,0
Philippines,Toboso,0.2946457695435263,1,0.0,0,-1.0163812619909312,0,-0.9071450750155413,0,0.41717615645686146,1
Japan,Tokorozawa,0.6842116655926008,1,0.0,0,1.0516271011737328,0,0.8086652979455711,0,0.7373515486049528,1
Brazil,Itarantim,-1.7181113600433586,0,0.0,0,-2.136552458705124,0,-0.33520828402850383,0,-1.23706336964161,0
Brazil,Itumbiara,-1.1986901653112594,0,0.0,0,-1.6195503679139582,0,-0.9071450750155413,0,-0.8101628467774883,0
United Republic of Tanzania,Izazi,-1.3934731133357967,0,0.0,0,-1.4472163376502363,0,-0.9071450750155413,0,-0.9702505428515339,0
Russian Federation,Izberbash,0.09986282151898904,1,0.0,0,0.5346250103825668,0,-0.9071450750155413,0,0.25708846038281585,1
Bulgaria,Jambol,-0.6143413212376476,0,0.0,0,0.7069590406462888,0,-0.9071450750155413,0,-0.7568002814194731,0
Poland,Jarocin,-0.15984777584706064,0,0.0,0,-0.41321215606790423,0,0.23672850695853362,0,0.04363819895075502,0
Philippines,Jasaan,0.6192840162510884,1,0.0,0,0.017622919591400794,0,-0.9071450750155413,0,0.6839889832469375,1
Finland,Imatra,-1.3285454639942842,0,0.0,0,-0.24087812580418222,0,-0.33520828402850383,0,-2.0908644153698535,0
Brazil,Itapemirim,-0.3546307238715979,0,0.0,0,-1.3610493225183753,0,-0.33520828402850383,0,-0.1164494971232906,0
South Sudan,Torit,1.0088499123001629,1,0.0,0,-1.7057173830458192,0,-0.9071450750155413,0,1.0041643753950287,1
Ireland,Tullamore,0.48942871756806355,1,0.0,0,-0.4993791711997652,0,0.8086652979455711,0,0.5772638525309071,1
United States of America,Two Rivers,-0.029992477164035802,0,0.0,0,-0.41321215606790423,0,1.3806020889326085,0,0.15036332966678545,0
Russian Federation,Tyukalinsk,-1.003907217286722,0,0.0,0,0.1899569498551228,0,-0.9071450750155413,0,-0.7568002814194731,0
India,Udupi,1.9827646524228493,1,0.0,0,-0.5855461863316263,0,-0.9071450750155413,0,1.804602855765257,1
United States of America,Yankton,-0.15984777584706064,0,0.0,0,0.1899569498551228,0,0.8086652979455711,0,0.04363819895075502,0
Germany,Wenden,1.2685605096662125,1,0.0,0,0.1899569498551228,0,1.3806020889326085,0,1.2176146368270897,1
Belgium,Wetteren,0.9439222629586504,1,0.0,0,0.017622919591400794,0,2.524475670906684,0,0.9508018100370136,1
